corpus,file,doi,dopant_element,co_dopants,concentration_value,concentration_unit,growth_method,carrier_type,measurement_kind,sample_label,carrier_cm3,mu_cm2Vs,rho_ohmcm,quote
transport,023f6b4783637672.md,,Si,,,,MOCVD,electron,hall,A,1.83e+16,,,"foursamplesatroomtemperaturewere1.83×1016,8.64×1016,3.35×1017, and 6.55×1017cm−3, respectively."
transport,023f6b4783637672.md,,Si,,,,MOCVD,electron,hall,B,8.64e+16,,,"foursamplesatroomtemperaturewere1.83×1016,8.64×1016,3.35×1017, and 6.55×1017cm−3, respectively."
transport,023f6b4783637672.md,,Si,,,,MOCVD,electron,hall,C,3.35e+17,,,"foursamplesatroomtemperaturewere1.83×1016,8.64×1016,3.35×1017, and 6.55×1017cm−3, respectively."
transport,023f6b4783637672.md,,Si,,,,MOCVD,electron,hall,D,6.55e+17,,,"foursamplesatroomtemperaturewere1.83×1016,8.64×1016,3.35×1017, and 6.55×1017cm−3, respectively."
transport,0fe12bf18feb3409.md,,Si,,,,MOCVD,electron,hall,,33000000000000.0,100.0,,"A record high sheet charge density of 3.3×10¹³ cm⁻² was modulated using 100 nm fin channels, delivering a peak drain current of 410 mA/mm and a peak transconductance of 60 mS/mm."
transport,1e86774daeb001c4.md,,,,,,,electron,hall,,3.2e+18,100.0,0.0001,Hydrogen induced a 9-order of magnitude increase of n-type conductivity with donor ionization energy of 20 meV and resistivity of 10−4 Ω.cm. The conductivity was switched to p-type with acceptor ionization energy of 42 meV by altering hydrogen incorporation in the lattice.
transport,1e86774daeb001c4.md,,,,,,,electron,hall,,1e+16,100.0,0.0001,sheet carrier density of 1016 cm−2 with electron mobility 100 cm2 V−1 S−1 at room temperature leading to 10−4 Ω.cm resistivity.
transport,1e86774daeb001c4.md,,,,,,,hole,hall,,1000000000000000.0,1.0,,"For p-type conductivity we report a hole density of 1015 cm−2, but with very low hole mobility less than 1 cm2 V−1 S−1, which is expected from the flat valence band of GaO."
transport,202764d697fd33e3.md,,,,,,MOCVD,hole,hall,,1e+17,10.0,,hole conductivity in excess of 10 cm2 V−1 s−1 and (high temperature) free hole concentrations in the ~1017 cm−3 range
transport,32f57221dc15fb1f.md,,,,,,optical float zone,electron,hall,,6e+17,,,high-purity n-type semiconductors with free carrier concentration of 6×1017cm−3 are attributed to native defects
transport,5346dab938ae0856.md,,,,,,movpe,electron,hall,,1.8e+17,186.0,,The film exhibits remarkable crystalline quality which is evident from the measured room temperature Hall mobility of 186 cm2/Vs for the unintentionally doped films.
