sample_idx,photo_dark_ratio_pred,photo_dark_ratio_pred_platt,photo_dark_ratio_std,photo_dark_ratio_true,dopant_label,method,atmosphere,concentration_at%,doi,element,is_sputter,photo_dark_ratio_pred_rank,photo_dark_ratio_pred_refined,photo_dark_ratio_alpha
0,2.473230123519897,2.2842009677781987,0.1161800477653741,4.0,Fe,RF magnetron sputtering,Ar,2.65,Original CSV,Fe,True,,2.2842009677781987,0.0
1,2.4646119594573976,2.2662713676792303,0.1372586451470852,4.296445846557617,Sn,RF magnetron sputtering,Ar,2.65,Original CSV,Sn,True,,2.2662713676792303,0.0
2,2.8139012336730955,2.9929478338186004,0.1080456994473934,3.0413928031921387,Mg,RF magnetron sputtering,Ar,2.65,Original CSV,Mg,True,,2.9929478338186004,0.0
3,2.535450077056885,2.4136460418107126,0.1106306256726384,1.2301933765411377,Zn,RF magnetron sputtering,Ar,2.65,Original CSV,Zn,True,,2.4136460418107126,0.0
4,1.939700508117676,1.174222952072617,0.1187142614275217,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.3390/cryst13101434,—,True,,1.174222952072617,0.0
5,3.601240110397339,4.630961580094699,0.1641002889722585,,undoped,RF magnetron sputtering+O₂ plasma,O2_plasma,0.0,DOI:10.1016/j.apmt.2025.102851,—,True,,4.630961580094699,0.0
6,2.2368161916732787,1.792355230670553,0.0851153552532196,,undoped,RF magnetron sputtering on Si,N2,0.0,Mohammed ApplSurf 2022,—,True,,1.792355230670553,0.0
7,2.1035658359527587,1.5151354453673096,0.1242231633514165,,undoped,RF magnetron sputtering amorphous,Ar,0.0,DOI:10.1016/j.jallcom.2022.168255,—,True,,1.5151354453673096,0.0
8,2.086211633682251,1.4790310147147596,0.0786639027297496,,undoped,RF magnetron sputtering+O₂ anneal,O2,0.0,DOI:10.1002/advs.202101106,—,True,,1.4790310147147596,0.0
9,3.1103200912475586,3.6096304056008157,0.1090842183679342,,undoped,RF magnetron sputtering+O₂ plasma,O2_plasma,0.0,DOI:10.3390/photonics12111074,—,True,,3.6096304056008157,0.0
10,2.141744542121887,1.594564071806102,0.1495043009519577,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1007/s11432-024-4092-3,—,True,,1.594564071806102,0.0
11,2.140912485122681,1.5928330245497349,0.1778884295374155,,undoped,RF magnetron sputtering+N₂,N2,0.0,DOI:10.1016/j.matlet.2023.133506,—,True,,1.5928330245497349,0.0
12,2.168141841888428,1.649482152394302,0.1340429075062275,,undoped,RF magnetron sputtering+vacuum,vacuum,0.0,DOI:10.1016/j.matlet.2023.133506,—,True,,1.649482152394302,0.0
13,2.399950361251831,2.131746590803522,0.1230266653001308,,undoped,RF magnetron sputtering+O₂,O2,0.0,DOI:10.1016/j.matlet.2023.133506,—,True,,2.131746590803522,0.0
14,1.6549230575561524,0.5817596653745145,0.1397908609360456,,undoped,RF magnetron sputtering,Ar+N2,0.0,ε-PMC review 2025 ref,—,True,,0.5817596653745145,0.0
15,2.925451946258545,3.2250227459353265,0.1076144263148307,4.505149841308594,Si,RF magnetron sputtering,Ar,2.34,DOI:10.1016/j.vacuum.2024.113564,Si,True,,3.2250227459353265,0.0
16,2.685320806503296,2.7254435692223153,0.1199231676757335,2.384819269180298,Si,RF sputtering on FTO/TiO₂,Ar,2.34,DOI:10.1021/acsaelm.3c01332,Si,True,,2.7254435692223153,0.0
17,2.122641658782959,1.5548216096621528,0.1311029411852359,,undoped,RF magnetron co-sputtering,Ar,0.0,DOI:10.3390/ma17133227,—,True,,1.5548216096621528,0.0
18,2.277103853225708,1.876171418819117,0.1718047469854355,1.9777235984802248,Sn,RF magnetron co-sputtering,Ar,2.1,DOI:10.3390/ma17133227,Sn,True,,1.876171418819117,0.0
19,2.37664008140564,2.0832508795584936,0.1439132750034332,2.008600234985352,Sn,RF magnetron co-sputtering,Ar,3.6,DOI:10.3390/ma17133227,Sn,True,,2.0832508795584936,0.0
20,2.3688932418823243,2.067134020599133,0.1401400834321975,2.004321336746216,Sn,RF magnetron co-sputtering,Ar,4.1,DOI:10.3390/ma17133227,Sn,True,,2.067134020599133,0.0
21,2.6406490325927736,2.6325064846972714,0.1655469298362732,2.9095559120178223,Sn,RF magnetron sputtering,Ar:O2=1:1,3.0,DOI:10.1016/j.jallcom.2021.162551,Sn,True,,2.6325064846972714,0.0
22,2.3820127487182616,2.094428408285206,0.1278746332973241,3.033423662185669,Sn,RF magnetron sputtering,Ar,1.0,SSRN:5149855,Sn,True,,2.094428408285206,0.0
23,2.2954571723937987,1.9143544553436231,0.1122384779155254,2.698970079421997,Sn,RF magnetron sputtering,Ar,5.0,SSRN:5149855,Sn,True,,1.9143544553436231,0.0
24,2.2262567043304444,1.7703868179164997,0.1201034449040889,2.0,Sn,RF magnetron sputtering,Ar,8.0,SSRN:5149855,Sn,True,,1.7703868179164997,0.0
25,3.1153577327728272,3.620110932234447,0.1064447283744812,3.939519166946411,Mg,RF magnetron sputtering,Ar,5.0,DOI:10.1016/j.matlet.2017.08.032,Mg,True,,3.620110932234447,0.0
26,2.471223020553589,2.280025304228238,0.0763866953551769,2.0,Mg,RF magnetron sputtering,Ar,0.48,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,2.280025304228238,0.0
27,2.529917907714844,2.4021366781848594,0.0922095026820898,3.0,Mg,RF magnetron sputtering,Ar,1.01,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,2.4021366781848594,0.0
28,2.6033481121063238,2.554904041439594,0.0686083644628524,1.6989699602127075,Mg,RF magnetron sputtering,Ar,2.18,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,2.554904041439594,0.0
29,2.523356628417969,2.3884863098375564,0.0733174316585063,3.3424227237701416,Mg,RF magnetron sputtering+AlN,Ar,2.0,DOI:10.3390/coatings15111312,Mg,True,,2.3884863098375564,0.0
30,2.663021183013916,2.6790504710377587,0.0873222928494215,2.176091194152832,Zn,RF magnetron sputtering,Ar,3.0,DOI:10.1007/s13391-017-7072-y,Zn,True,,2.6790504710377587,0.0
31,2.6230927467346192,2.5959816306358845,0.061551034450531,1.6989699602127075,Zn,RF magnetron sputtering,Ar,0.5,ResearchGate Struct.Opt.Zn,Zn,True,,2.5959816306358845,0.0
32,2.8587689876556395,3.0862926437354123,0.1000486385077238,2.477121353149414,Zn,RF magnetron sputtering,Ar,2.0,ResearchGate Struct.Opt.Zn,Zn,True,,3.0862926437354123,0.0
33,2.2905325412750246,1.9041090404322536,0.1000997111201286,,undoped,RF magnetron sputtering,Ar:O2=3:1,2.0,DOI:10.1016/j.surfcoat.2025.131891,B,True,,1.9041090404322536,0.0
34,3.028995656967163,3.4404395461151984,0.076009277626872,1.0,B,RF magnetron sputtering,Ar,2.0,DOI:10.1016/j.optmat.2023.114431,Sb,True,,3.4404395461151984,0.0
35,2.4360042095184324,2.2067545712458867,0.0797774836421012,3.204119920730591,Sb,RF magnetron sputtering,Ar:O2=1:1,,DOI:10.1021/acsaelm.3c01332 ref,Bi+Cu,True,,2.2067545712458867,0.0
36,2.6360518455505373,2.622942298560909,0.1852698862552642,,Bi,RF magnetron sputtering on p-Si,Ar,0.0,DOI:10.1021/acsphotonics.8b00174,—,True,1.122942298560909,2.622942298338059,1.4856666046266525e-10
37,2.531115007400513,2.4046271759854343,0.136193985491991,,undoped,RF magnetron sputtering,Ar,4.92,DOI:10.1016/j.matlet.2017.08.032,Mg,True,,2.4046271759854343,0.0
38,3.087656450271606,3.562479989742108,0.0994823351502418,3.698970079421997,Mg,RF magnetron sputtering,Ar,6.88,DOI:10.1016/j.matlet.2017.08.032,Mg,True,,3.562479989742108,0.0
39,3.0773472785949707,3.541032344492699,0.1229376956820487,3.903090000152588,Mg,RF magnetron sputtering,Ar,8.58,DOI:10.1016/j.matlet.2017.08.032,Mg,True,,3.541032344492699,0.0
40,3.1224911212921143,3.634951541275288,0.1081782460212707,3.778151273727417,Mg,RF magnetron sputtering,Ar,0.72,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,3.634951541275288,0.0
41,2.4701711654663088,2.277836979552561,0.0648683603852987,,Mg,RF magnetron sputtering,Ar,1.45,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,2.3559480019971635,2.2847296531343413,0.08824200946375432
42,2.5300621509552004,2.402436768041332,0.0646072037518024,,Mg,RF magnetron sputtering,Ar,5.0,DOI:10.1007/s13391-017-7072-y,Zn,True,3.902436768041332,2.5441938115109255,0.09450469564639542
43,2.810418176651001,2.9857015318133038,0.0970714647322893,,Zn,RF magnetron sputtering,Ar,5.0,J.Semicond.44(6):062805 2023,Sn,True,4.485701531813303,2.98570153187448,4.0784473213969223e-11
44,2.7744463443756104,2.9108641809752807,0.1935361117124557,0.6989700198173523,Sn,RF magnetron sputtering+N₂,N2,5.0,J.Semicond.44(6):062805 2023,Sn,True,,2.9108641809752807,0.0
45,2.892814016342163,3.157121389310517,0.18555558770895,3.301029920578003,Sn,RF magnetron sputtering+air,air,5.0,J.Semicond.44(6):062805 2023,Sn,True,,3.157121389310517,0.0
46,3.110715389251709,3.6104528006124377,0.2729476273059845,2.698970079421997,Sn,RF magnetron sputtering on SiC,Ar,5.0,ACS Omega 2024 review PMC,Al,True,,3.6104528006124377,0.0
47,3.791230583190918,5.026225951380626,0.1640079990029335,3.698970079421997,Al,RF magnetron sputtering+O₂ ann.+post ann.,O2,0.0,DOI:10.1021/acs.jpcc.2c07278,—,True,,5.026225951380626,0.0
48,2.681275987625122,2.7170285536305383,0.1036915257573127,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.3390/cryst13101434,—,True,,2.7170285536305383,0.0
49,2.1122854471206667,1.533276100398394,0.1330779246985912,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.3390/cryst13101434,—,True,,1.533276100398394,0.0
50,2.081834101676941,1.46992380838793,0.1613450828939676,,undoped,RF magnetron sputtering (glancing angle),Ar,0.0,DOI:10.1021/acsaelm.3c00502,—,True,,1.46992380838793,0.0
51,2.2718335390090942,1.8652068298864264,0.0984395131468773,,undoped,RF magnetron sputtering+Ag₂O,Ar,0.0,DOI:10.1021/acsami.2c03193,—,True,,1.8652068298864264,0.0
52,2.10047926902771,1.5087140184550933,0.1355599302798509,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1364/OE.531784,—,True,,1.5087140184550933,0.0
53,2.1315603733062742,1.5733764878984258,0.1281381618231535,,undoped,RF magnetron sputtering,Ar,1.01,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,1.5733764878984258,0.0
54,2.5202796459198,2.3820848227802656,0.0488883087411522,,Mg,RF magnetron sputtering,Ar,0.0,Pearton APS Review 2018,—,True,3.8820848227802656,2.3820848228402656,3.999999999840001e-11
55,1.898918128013611,1.0893775301187962,0.1482425082474947,,undoped,RF magnetron sputtering+O₂,O2,0.0,Fang 2020 ApplSurf ref,—,True,,1.0893775301187962,0.0
56,2.218294095993042,1.75382106421316,0.1350313134491443,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1016/j.vacuum.2024.113564,—,True,,1.75382106421316,0.0
57,2.3153218984603883,1.9556818879460383,0.1095172971487045,,undoped,RFMS+NiO sputtering,Ar,0.0,PMC:11997563 review,—,True,,1.9556818879460383,0.0
58,2.477204704284668,2.292469856970443,0.0636882685124874,,undoped,RF magnetron sputtering,Ar:O2=1:1,,DOI:10.1016/j.jallcom.2025.179343,B,True,,2.292469856970443,0.0
59,2.864462327957153,3.098137314374448,0.0994890019297599,,B,RF magnetron sputtering+air,air,0.0,Fang et al. 2020 ref,—,True,,3.098137314374448,0.0
60,2.187463760375977,1.6896803047054276,0.1390583679080009,,undoped,RF magnetron co-sputtering,Ar:O2=1:1,,Liu et al. IEEE Sens.J. ref,Al+Ga+Zn,True,,1.6896803047054276,0.0
61,3.2632111072540284,3.9277114673955444,0.0963092695921659,,Al,RF magnetron sputtering on 4H-SiC,Ar:O2=1:1,0.0,DOI:10.1007/s13391-021-00297-6,—,True,,3.9277114673955444,0.0
62,2.4286203384399414,2.1913928474889954,0.0819883577525615,,undoped,RF magnetron sputtering+AlN,Ar,0.0,DOI:10.3390/coatings15111312,—,True,,2.1913928474889954,0.0
63,2.295587396621704,1.914625379442144,0.067738377302885,,undoped,RF magnetron sputtering,Ar,1.01,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,1.914625379442144,0.0
64,2.5197568416595457,2.380997158255848,0.0501166734844446,3.0,Mg,RF magnetron sputtering,Ar:O2=1:1,0.0,DOI:10.1016/j.vacuum.2017.09.007,—,True,,2.380997158255848,0.0
65,2.338660144805908,2.0042357819020817,0.1413880407810211,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1109/LED.2022.3173041,—,True,,2.0042357819020817,0.0
66,2.4125272750854494,2.157912144612968,0.0746757235378026,,undoped,RF magnetron sputtering,,5.0,10.1016/j.surfcoat.2018.12.130,V,True,,2.157912144612968,0.0
67,2.0898961782455445,1.4866965000881627,0.1236657306551933,,V,RF magnetron sputtering,,4.92,10.1016/j.matlet.2017.08.052,Mg,True,,1.4866965000881627,0.0
68,3.0323899269104,3.44750113165347,0.0935045599937439,,Mg,RF magnetron sputtering,,6.88,10.1016/j.matlet.2017.08.052,Mg,True,4.947501131653469,3.4475011317134694,3.999999999840001e-11
69,3.0715357780456545,3.5289418481795027,0.0983718454837799,,Mg,RF magnetron sputtering,,8.58,10.1016/j.matlet.2017.08.052,Mg,True,5.028941848179503,3.5289418482423294,4.188449942502295e-11
70,3.090680313110352,3.568770964369611,0.0977355226874351,,Mg,RF magnetron sputtering,O2_plasma,1.91,10.1016/j.mssp.2022.106471,Mg,True,2.068770964369611,3.5687709643075944,4.1344388347030096e-11
71,3.972481441497803,5.403308051868599,0.1654203385114669,,Mg,RF magnetron sputtering,O2_plasma,3.28,10.1016/j.mssp.2022.106471,Mg,True,6.903308051868599,5.403308052046255,1.1843757370495482e-10
72,4.113675880432129,5.6970550504093165,0.176516668498516,,Mg,RF magnetron sputtering,O2_plasma,5.22,10.1016/j.mssp.2022.106471,Mg,True,7.1970550504093165,5.697055050611606,1.3485999392976518e-10
73,4.102955341339111,5.674751578650227,0.1451155334711074,,Mg,RF magnetron sputtering,O2_plasma,1.0,10.1016/j.mssp.2024.108361,Mg,True,4.174751578650227,5.674751578513507,9.114639514802121e-11
74,3.4859034061431884,4.391010127672455,0.2290972933173179,4.309630393981934,Mg,RF magnetron sputtering,O2_plasma,2.0,10.1016/j.mssp.2024.108361,Mg,True,,4.391010127672455,0.0
75,3.6350259304046633,4.701251056757476,0.2661887347698212,4.309630393981934,Mg,RF magnetron sputtering,O2_plasma,3.0,10.1016/j.mssp.2024.108361,Mg,True,,4.701251056757476,0.0
76,3.6871747016906737,4.809743609002945,0.3073262363672256,4.309630393981934,Mg,RF magnetron sputtering,,0.83,10.1088/1674-4926/37/4/042002,F,True,,4.809743609002945,0.0
77,3.1558863162994384,3.7044283448457622,0.1609679486602545,,F,RF magnetron sputtering,,1.25,10.1088/1674-4926/37/4/042002,F,True,,3.7044283448457622,0.0
78,3.176884174346924,3.748113194077692,0.1695128606632351,,F,RF magnetron sputtering,,1.67,10.1088/1674-4926/37/4/042002,F,True,,3.748113194077692,0.0
79,3.253079128265381,3.90663246145412,0.1367994889616966,,F,RF magnetron sputtering,,2.5,10.1088/1674-4926/37/4/042002,F,True,,3.90663246145412,0.0
80,3.256448173522949,3.9136415684687296,0.1980334678664803,,F,RF magnetron sputtering,,5.0,10.1063/1.4803802,W,True,,3.9136415684687296,0.0
81,2.858652925491333,3.0860511830046184,0.1276627756655216,,W,RF magnetron sputtering,,11.0,10.1063/1.4803802,W,True,1.5860511830046184,3.086051182898807,7.054077989578087e-11
82,2.9944424629211426,3.368553591415987,0.1483944553881883,,W,RF magnetron sputtering,,1.5,10.1016/j.optmat.2019.109223,Ti,True,1.8685535914159872,3.36855359127302,9.531188088805628e-11
83,2.582068848609924,2.5106337441785818,0.0716268699616193,,Ti,RF magnetron sputtering,,5.0,10.1016/j.optmat.2019.109223,Ti,True,2.5863875335415636,2.513139160330225,0.033073146211053166
84,2.660756254196167,2.6743384154699643,0.0832206949591636,,Ti,RF magnetron sputtering,Ar,10.0,10.1007/s11082-022-03851-0,Al,True,2.586387533541564,2.6714296030925553,0.033073146211053166
85,3.1138330459594727,3.61693890804909,0.0784600600600242,,Al,RF magnetron sputtering,,0.5,10.1016/j.optmat.2022.112491,Ta,True,,3.61693890804909,0.0
86,2.561592626571655,2.4680341289912406,0.0317282617092132,,Ta,RF magnetron sputtering,,1.0,10.1016/j.optmat.2022.112491,Ta,True,3.9169339832959165,2.514772833968811,0.032258064516129045
87,2.551099109649658,2.446202963945097,0.027961141988635,,Ta,RF magnetron sputtering,,1.3,10.1016/j.optmat.2022.112491,Ta,True,2.3074960708618164,2.440868083441894,0.038461538461538464
88,2.546275758743286,2.436168256754438,0.030624059215188,,Ta,RF magnetron sputtering,,1.5,10.1016/j.optmat.2022.112491,Ta,True,1.6143488903018712,2.4148222991842414,0.02597402597402598
89,2.5429933071136475,2.42933930285697,0.0337353929877281,,Ta,RF magnetron sputtering,,0.139,10.1007/s40843-025-3509-0,Sn,True,3.92933930285697,2.42933930291697,3.999999999840001e-11
90,2.5796357154846192,2.5055717491170006,0.150213585793972,4.534026145935059,Sn,RF magnetron sputtering,,0.199,10.1007/s40843-025-3509-0,Sn,True,,2.5055717491170006,0.0
91,2.683591651916504,2.7218461614652054,0.1422298893332481,4.534026145935059,Sn,RF magnetron sputtering,,1.0,10.1007/s40843-025-3509-0,Sn,True,,2.7218461614652054,0.0
92,3.16318826675415,3.7196196374048296,0.1571311727166175,4.534026145935059,Sn,RF magnetron sputtering,,1.14,10.1007/s40843-025-3509-0,Sn,True,,3.7196196374048296,0.0
93,3.231599521636963,3.8619453617032025,0.1527213722467422,4.534026145935059,Sn,RF magnetron sputtering,,1.39,10.1007/s40843-025-3509-0,Sn,True,,3.8619453617032025,0.0
94,3.276488304138184,3.9553339202569417,0.1832150608301162,4.534026145935059,Sn,RF magnetron sputtering,N2,5.0,10.1088/1674-4926/44/6/062805,Sn,True,,3.9553339202569417,0.0
