sample_idx,element,n_within,n_cross,sigma_reg,sigma_rank,y_reg,y_rank,y_fused,alpha
36,Bi,0,12,0.38544345951739445,31622.776601683792,2.622942298560909,1.122942298560909,2.622942298338059,1.4856666046266525e-10
41,Mg,13,0,0.2,0.6428832195686731,2.277836979552561,2.3559480019971635,2.2847296531343413,0.08824200946375432
42,Mg,14,0,0.2,0.619079471298905,2.402436768041332,3.902436768041332,2.5441938115109255,0.09450469564639542
43,Zn,7,0,0.20195166059142122,31622.776601683792,2.9857015318133038,4.485701531813303,2.98570153187448,4.0784473213969223e-11
54,Mg,0,12,0.2,31622.776601683792,2.3820848227802656,3.8820848227802656,2.3820848228402656,3.999999999840001e-11
68,Mg,3,0,0.2,31622.776601683792,3.44750113165347,4.947501131653469,3.4475011317134694,3.999999999840001e-11
69,Mg,3,0,0.2046570287744285,31622.776601683792,3.5289418481795027,5.028941848179503,3.5289418482423294,4.188449942502295e-11
70,Mg,3,0,0.20333319539302838,31622.776601683792,3.568770964369611,2.068770964369611,3.5687709643075944,4.1344388347030096e-11
71,Mg,4,0,0.34414760455214893,31622.776601683792,5.403308051868599,6.903308051868599,5.403308052046255,1.1843757370495482e-10
72,Mg,6,0,0.3672328878898953,31622.776601683792,5.6970550504093165,7.1970550504093165,5.697055050611606,1.3485999392976518e-10
73,Mg,6,0,0.30190461267812535,31622.776601683792,5.674751578650227,4.174751578650227,5.674751578513507,9.114639514802121e-11
81,W,0,12,0.26559514284104835,31622.776601683792,3.0860511830046184,1.5860511830046184,3.086051182898807,7.054077989578087e-11
82,W,0,12,0.3087262232094006,31622.776601683792,3.368553591415987,1.8685535914159872,3.36855359127302,9.531188088805628e-11
83,Ti,0,12,0.2,1.0814066879348583,2.5106337441785818,2.5863875335415636,2.513139160330225,0.033073146211053166
84,Ti,0,12,0.2,1.0814066879348583,2.6743384154699643,2.586387533541564,2.6714296030925553,0.033073146211053166
86,Ta,6,0,0.2,1.0954451150103321,2.4680341289912406,3.9169339832959165,2.514772833968811,0.032258064516129045
87,Ta,4,0,0.2,1.0,2.446202963945097,2.3074960708618164,2.440868083441894,0.038461538461538464
88,Ta,3,0,0.2,1.224744871391589,2.436168256754438,1.6143488903018712,2.4148222991842414,0.02597402597402598
89,Ta,7,0,0.2,31622.776601683792,2.42933930285697,3.92933930285697,2.42933930291697,3.999999999840001e-11
104,Zn,15,0,0.5348090546908182,1.035107828484846,1.0946058394429818,-0.2342990279014694,0.8146036073869121,0.21070148731985447
111,Si,2,12,0.2734293776070374,0.9470870541729347,3.9384673822743212,2.4384673822743212,3.8230602529417426,0.07693808622171924
112,Mg,3,0,0.2,31622.776601683792,3.42381704814809,4.92381704814809,3.4238170482080905,3.999999999840001e-11
113,Mg,3,0,0.2,31622.776601683792,3.5269917105270943,5.026991710527094,3.5269917105870943,3.999999999840001e-11
114,Mg,3,0,0.2,31622.776601683792,3.5914630152916103,2.0914630152916103,3.5914630152316103,3.999999999840001e-11
115,Mg,4,0,0.3667193033211742,31622.776601683792,5.43842580691372,6.93842580691372,5.438425807115445,1.3448304741028168e-10
116,Mg,6,0,0.43603636794501144,31622.776601683792,5.624840038502198,7.124840038502198,5.624840038787389,1.9012771413452886e-10
117,Mg,6,0,0.2835892638092105,31622.776601683792,5.681151478455385,4.181151478455385,5.68115147833475,8.042287054138216e-11
122,W,0,12,0.30959032699094974,31622.776601683792,1.9408056153338245,0.44080561533382445,1.9408056151900552,9.584617055717671e-11
123,W,0,12,0.3156445445171479,31622.776601683792,2.165172335074431,0.665172335074431,2.1651723349249834,9.963147847351134e-11
131,Ta,6,0,0.476596280438175,31622.776601683792,3.9263391887229555,5.426339188722956,3.926339189063672,2.271440144759091e-10
132,Ta,6,0,0.2,1.0954451150103321,2.45390728739414,3.916933983295916,2.501101696939359,0.032258064516129045
133,Ta,4,0,0.2,1.0,2.438310055101954,2.3074960708618164,2.433278748015795,0.038461538461538464
134,Ta,3,0,0.2,1.224744871391589,2.442864575895508,1.6143488903018712,2.421344687958011,0.02597402597402598
135,Ta,7,0,0.2,31622.776601683792,2.438089823868443,3.938089823868443,2.438089823928443,3.999999999840001e-11
144,Zn,15,0,0.4518885479609732,1.0351078284857018,1.028739042443426,-0.2342990279033777,0.8265549067556154,0.16007762587258756
151,Si,0,12,0.25420353503289284,1.0814066879348554,3.2184773149501873,2.5863875335412905,3.185379012988404,0.05236329226523682
