sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,vacancy_concentration_pred_per_dopant_platt,_platt_bucket
0,15.722967147827148,15.33933003462116,0.0959212459623813,17.50105857849121,Fe,15.237482515736914,global_fallback
1,16.465595245361328,16.272853600276733,0.0805268928408622,10.127104759216309,Sn,15.870693235297754,per_dopant:Sn
2,15.315812492370606,14.825194426889686,0.1186728969216346,10.079181671142578,Mg,14.913905521823619,per_dopant:Mg
3,15.474220657348631,15.024422347851893,0.0972621753811836,9.973589897155762,Zn,10.668944949715069,per_dopant:Zn
4,17.03860740661621,17.000122081063598,0.0810386575758457,,undoped,17.0262106561876,global_fallback
5,16.861017990112305,16.76389767145594,0.08345907330513,,undoped,16.784762293214023,global_fallback
6,17.29215202331543,17.325422899856022,0.0688799325376749,,undoped,17.37092676510867,global_fallback
7,16.896096420288085,16.820907381154463,0.0820686765015125,,undoped,16.832454490803052,global_fallback
8,17.3423713684082,17.372378688595028,0.0706766091287136,,undoped,17.43920436239436,global_fallback
9,16.678068542480467,16.54091367986205,0.086568146944046,,undoped,16.536026498552204,global_fallback
10,17.035153198242188,17.004477997697602,0.070240569114685,,undoped,17.021514357423314,global_fallback
11,17.15236892700195,17.141450376933342,0.0726336024701595,,undoped,17.180879405076237,global_fallback
12,16.76471061706543,16.64822648759631,0.0611284639686346,,undoped,16.653823986065845,global_fallback
13,17.027132415771483,16.982401311105352,0.0701252575963735,,undoped,17.010609401286604,global_fallback
14,17.444211578369142,17.478282858201453,0.0762085571885109,,undoped,17.577665045829367,global_fallback
15,16.896037292480468,16.808715906048814,0.0917330853641033,,undoped,16.832374101370863,global_fallback
16,16.939920043945314,16.861670683330146,0.0737410504370927,,undoped,16.892036544733475,global_fallback
17,16.957378768920897,16.883530636810523,0.0918523602187633,,undoped,16.915773210171913,global_fallback
18,17.14850425720215,17.123402161310217,0.0728758715093135,,undoped,17.175625048060116,global_fallback
19,17.02419242858887,16.979533487382092,0.0685799002647399,,undoped,17.00661223126161,global_fallback
20,17.0268123626709,16.98215982562619,0.0800333619117736,,undoped,17.010174261069793,global_fallback
21,17.506584548950194,17.582238216383274,0.0894292961806058,,undoped,17.662466561240972,global_fallback
22,17.306044006347655,17.337146476163756,0.0783539801836013,,undoped,17.389814132540913,global_fallback
23,18.34913711547852,18.652965044845303,0.114049220085144,,undoped,18.807990556489735,global_fallback
24,17.320616149902342,17.36229859726219,0.0693010687828064,,undoped,17.409626237764076,global_fallback
25,17.889230728149414,18.05267678930524,0.0970918051898479,,undoped,18.182707549609297,global_fallback
26,17.031478500366212,16.994873803504916,0.0606115601956844,,undoped,17.01651828387319,global_fallback
27,17.286615753173827,17.30649063313494,0.0754055209457874,,undoped,17.36339972104836,global_fallback
28,16.311399269104005,16.089076386650888,0.0958490453660488,,Si,16.171679027736396,per_dopant:Si
29,16.616077041625978,16.456770176325403,0.1069669924676418,,Si,16.540979552569713,per_dopant:Si
30,17.922217178344727,18.09751719272301,0.0970094963908195,17.710962295532227,Si,18.1241545705678,per_dopant:Si
31,17.8978702545166,18.07009047280601,0.1110544100403785,18.0,Si,18.094643616508442,per_dopant:Si
32,18.386808395385746,18.65447653597708,0.1292339399456978,19.301029205322266,Si,18.687286494718332,per_dopant:Si
33,19.50711326599121,20.111392971668717,0.2354807257652282,,Si,20.045210222672853,per_dopant:Si
34,16.745222091674805,16.6182702202269,0.076434963196516,,undoped,16.62732762921661,global_fallback
35,16.55650939941406,16.38652386695344,0.0687364496290683,16.301029205322266,Sn,16.06123297512831,per_dopant:Sn
36,16.64813575744629,16.500567218677148,0.0829814217984676,16.698970794677734,Sn,16.25326536659681,per_dopant:Sn
37,16.686886978149413,16.54939832669954,0.0793104544281959,17.0,Sn,16.334480965947893,per_dopant:Sn
38,16.756751251220702,16.641911340360792,0.0439919013530015,15.0,Sn,16.480903935541082,per_dopant:Sn
39,16.81900978088379,16.718457610331203,0.053285826742649,17.698970794677734,Sn,16.61138663284866,per_dopant:Sn
40,16.704456520080566,16.556122802898237,0.0914708949625492,16.0,Sn,16.37130357056193,per_dopant:Sn
41,17.411131286621092,17.442229274079132,0.1027058832347393,,Sn,17.85236697113373,per_dopant:Sn
42,16.317560768127443,16.08270350360126,0.1263261638581752,,Sn,15.56043955618706,per_dopant:Sn
43,17.215583038330077,17.230672100382158,0.0983061820268631,,Sn,17.442532960776237,per_dopant:Sn
44,16.622444915771485,16.474001720423882,0.0701319955289363,18.0,Sn,16.199421976205624,per_dopant:Sn
45,15.546789932250975,15.179580184509607,0.1349353678524494,,Sn,13.945042305152914,per_dopant:Sn
46,16.371541595458986,16.18563527308559,0.1566004276275635,,Sn,15.673573675981263,per_dopant:Sn
47,16.80563144683838,16.717814224829418,0.1357295572757721,,Sn,16.58334804727375,per_dopant:Sn
48,14.421057891845702,13.707037425158433,0.1621560454368591,,Mg,13.810492571836463,per_dopant:Mg
49,16.511964416503908,16.332814417416948,0.0518041685223579,16.698970794677734,Mg,16.3890021823677,per_dopant:Mg
50,16.455367279052734,16.262030807923207,0.0449600137770175,16.301029205322266,Mg,16.31920649273482,per_dopant:Mg
51,16.179786682128906,15.91694309773698,0.0569749273359775,16.0,Mg,15.979360015016177,per_dopant:Mg
52,17.061072158813477,17.019998827230697,0.0669968329370021,,undoped,17.056753454004145,global_fallback
53,15.953623008728028,15.634755117087613,0.110074345767498,16.698970794677734,Mg,15.70045457446209,per_dopant:Mg
54,15.354715728759766,14.891953773596958,0.1480488985776901,15.301030158996582,Mg,14.961881061488942,per_dopant:Mg
55,15.325470542907714,14.856598857869766,0.131416667997837,13.954242706298828,Mg,14.925815846764138,per_dopant:Mg
56,15.997064971923828,15.67075996695632,0.0753224857151508,,Mg,15.75402728002291,per_dopant:Mg
57,16.87598762512207,16.759292339487406,0.1008544713258743,,Mg,16.837916244669838,per_dopant:Mg
58,16.631611251831053,16.489351713431837,0.0563428845256567,,Mg,16.536550870519186,per_dopant:Mg
59,15.839181327819825,15.499382615470822,0.0753540858626365,,Zn,12.874189245141864,per_dopant:Zn
60,16.57431831359863,16.408449887910177,0.0579704657196998,,Zn,17.316192933245887,per_dopant:Zn
61,16.062332534790038,15.766362092825542,0.08550975471735,,Zn,14.222561730191615,per_dopant:Zn
62,16.231746101379393,15.978927232944477,0.0544453408569097,,Zn,15.246229022359657,per_dopant:Zn
63,16.10685615539551,15.834888055815291,0.1315369524061679,15.698969841003418,Zn,14.491591980013311,per_dopant:Zn
64,16.11861343383789,15.847653344359012,0.105967479199171,15.0,Zn,14.562634350637339,per_dopant:Zn
65,16.489629364013673,16.303487296409795,0.0803284563124179,,Zn,16.804467045859738,per_dopant:Zn
66,17.006769561767577,16.975854228676774,0.1222918942570686,,Zn,19.92924339384348,per_dopant:Zn
67,15.672467231750488,15.228858241958568,0.1894817620515823,,Zn,11.866833277581094,per_dopant:Zn
68,18.340371704101564,18.56976307104788,0.1681925781071186,,Zn,27.98742268465311,per_dopant:Zn
69,16.976325225830077,16.925884981002746,0.0886040762066841,,undoped,16.94153257745251,global_fallback
70,16.612002182006837,16.494227272688352,0.1170303270220756,,B,16.44620349615707,global_fallback
71,17.779933547973634,17.847295669069727,0.1506482101976871,,Sb,18.03410846217162,global_fallback
72,18.31738395690918,18.581665937388333,0.1418241962790489,,Ta,18.76481935683866,global_fallback
73,18.74670829772949,19.11047730629884,0.1780278161168098,,Ta,19.348523393466852,global_fallback
74,16.818208694458008,16.721961254597595,0.0709853872656822,,Ta,16.72655930702675,global_fallback
75,17.611191940307616,17.693507085080864,0.6241729110479355,,Al,17.80468947010238,global_fallback
76,15.37417106628418,14.887817343591417,0.092848177999258,,Cu,14.763263699334104,global_fallback
77,16.762763595581056,16.653720812950326,0.0479854140430688,,Ge,16.651176839860113,global_fallback
78,16.52742729187012,16.36940025159046,0.068397606909275,,Fe,16.331216526921033,global_fallback
79,15.982933044433594,15.71526032845272,0.1171159509569406,,Bi,15.590928916993626,global_fallback
80,17.179502487182617,17.16561547409819,0.0792128749191761,,undoped,17.217769856186663,global_fallback
81,17.23359146118164,17.23778738909429,0.0864138841629028,,undoped,17.291308552827953,global_fallback
82,17.324587249755858,17.357161374255824,0.0956134729087352,,undoped,17.415025295758138,global_fallback
83,17.874450302124025,18.035655185771105,0.1082635968923568,,undoped,18.162612266128235,global_fallback
84,17.4700870513916,17.55704998258119,0.109788379073143,,undoped,17.612845017279422,global_fallback
85,17.05591697692871,17.015732289898516,0.0642738699913025,,undoped,17.049744532800325,global_fallback
86,16.523034286499023,16.342753123200463,0.0708903938531875,16.698970794677734,Mg,16.40265356555156,per_dopant:Mg
87,16.224829864501952,15.968650418619143,0.0972333922982215,16.301029205322266,Mg,16.034907346887838,per_dopant:Mg
88,15.776313018798827,15.40533177017304,0.0973258830606937,16.0,Mg,15.48179558244886,per_dopant:Mg
89,14.49598560333252,13.800202083432756,0.1967651456594467,14.698969841003418,Mg,13.902893557669845,per_dopant:Mg
90,14.231457138061524,13.467365990134022,0.193973359465599,14.477121353149414,Mg,13.576676588180096,per_dopant:Mg
91,14.195361137390137,13.423012393415435,0.2128570228815078,14.301030158996582,Mg,13.532162936548477,per_dopant:Mg
92,16.769998168945314,16.653631929388332,0.0720887530595064,,Mg,16.707209860551863,per_dopant:Mg
93,16.4565128326416,16.26293767905365,0.0558368906378746,,Mg,16.320619191439157,per_dopant:Mg
94,16.3212646484375,16.093522353206666,0.0573201760649681,,Mg,16.15383089236195,per_dopant:Mg
95,17.047583770751952,16.99283734849227,0.0825810149312019,,undoped,17.038414809276766,global_fallback
96,17.00615463256836,16.95913580761949,0.0621756948530674,,undoped,16.982088268029223,global_fallback
97,17.4546329498291,17.48711134437347,0.0802395716309547,,undoped,17.591833812912913,global_fallback
98,15.705418586730955,15.33348149524041,0.0944266289472579,,Zn,12.0659390812378,per_dopant:Zn
99,17.15285720825195,17.135607400257232,0.0825768858194351,18.301029205322266,Si,17.1916118439056,per_dopant:Si
100,17.728985214233397,17.79058109015317,0.1056134775280952,,Fe,17.964839740983262,global_fallback
101,17.368576049804688,17.394104974183765,0.08837386444211,,Mg,17.445377157963506,per_dopant:Mg
102,17.255192947387695,17.269788311958973,0.0822720050811767,,undoped,17.32067766493455,global_fallback
103,16.841494750976562,16.740988102848334,0.0391373261809349,,Sn,16.658511092139012,per_dopant:Sn
104,16.97972717285156,16.921257657365842,0.070952633023262,,undoped,16.94615782233157,global_fallback
105,17.53199119567871,17.604378741117493,0.089689552038908,,Sn,18.105667635565208,per_dopant:Sn
106,17.69104766845703,17.80413072206927,0.1044798962771892,,Sn,18.439021437922182,per_dopant:Sn
107,17.43376045227051,17.485087305903665,0.0800843156874179,,Sn,17.89979363841506,per_dopant:Sn
108,17.38758430480957,17.442179677483104,0.1722989693284034,,Sn,17.80301672600513,per_dopant:Sn
109,18.093811798095704,18.354942983167582,0.1938528060913086,,Sn,19.283142722160488,per_dopant:Sn
110,18.505983352661133,18.90436158783203,0.2472855731844902,,Sn,20.14698027958745,per_dopant:Sn
111,18.75706367492676,19.244999520908653,0.2664382606744766,,Sn,20.673199544118194,per_dopant:Sn
112,18.000540924072265,18.20874912609701,0.1314688503742218,,Sn,19.08766372050926,per_dopant:Sn
113,17.736851119995116,17.878514601606454,0.1032576873898506,,undoped,17.975534128671786,global_fallback
114,16.89446907043457,16.80652584861178,0.0581056907773017,,undoped,16.830241966172636,global_fallback
115,17.295451736450197,17.327393028748336,0.0790623813867568,,undoped,17.37541301406627,global_fallback
116,16.628983306884766,16.476083719218202,0.0635243695229292,,undoped,16.46929082244003,global_fallback
117,16.78716163635254,16.67219746245754,0.0670522566884756,,undoped,16.684348112788463,global_fallback
118,17.0933349609375,17.074080390311476,0.0807879745960235,,undoped,17.100617558696523,global_fallback
119,17.132607650756835,17.09661360129789,0.0799294963479042,,undoped,17.154012219555938,global_fallback
120,17.385509490966797,17.411367945810067,0.0995247140526771,,undoped,17.497854417552897,global_fallback
121,16.64224510192871,16.52450240180672,0.1819577202200889,,Al,16.4873213941176,global_fallback
122,16.88255958557129,16.79739205567596,0.0751813679933548,,undoped,16.814049978605432,global_fallback
123,16.93002815246582,16.85413809211828,0.0531960934400558,,undoped,16.87858765204913,global_fallback
124,17.826386642456054,17.975342878264588,0.1036477744579315,,undoped,18.09726551194767,global_fallback
125,17.421793746948243,17.48830208608184,0.0924733832478523,,undoped,17.547186040917072,global_fallback
126,17.20959892272949,17.21806832800751,0.0919757708907127,,undoped,17.258688595811964,global_fallback
127,17.1175895690918,17.09394202233994,0.0875603511929512,,undoped,17.13359382242163,global_fallback
128,16.95945625305176,16.898069198820927,0.0928917407989502,,undoped,16.91859773176996,global_fallback
129,17.132408142089844,17.119024883417605,0.0747010573744773,,undoped,17.153740970052493,global_fallback
130,16.772067642211915,16.655418519978394,0.0888143256306648,,undoped,16.663826505996052,global_fallback
131,17.5554630279541,17.615128421880563,0.0996478261426091,,Sn,18.154860380762013,per_dopant:Sn
132,16.78245964050293,16.66953778837911,0.0632530227303505,,undoped,16.677955337684253,global_fallback
133,17.410158157348633,17.45536937326794,0.0851114034652709,,undoped,17.531366437945426,global_fallback
134,17.650378799438478,17.753157855554633,0.0905851807445287,,undoped,17.857967436624754,global_fallback
135,16.7545223236084,16.648993684912988,0.0518790952861309,,undoped,16.639972108937567,global_fallback
136,17.425964736938475,17.481483835401413,0.073414746671915,,undoped,17.55285686705608,global_fallback
137,17.692977905273438,17.80339601882671,0.1181126225739717,,undoped,17.91588465134663,global_fallback
138,18.238637924194336,18.471367870804848,0.2096981823444366,,undoped,18.657757229691885,global_fallback
139,17.923228454589843,18.110628997374825,0.13454480022192,,undoped,18.228930435834528,global_fallback
140,16.96857452392578,16.86866313599125,0.0884535036981105,,Mg,16.952094571419128,per_dopant:Mg
141,17.359638977050782,17.42091245104108,0.0824674718081951,,undoped,17.462681188442314,global_fallback
