sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,method,atmosphere,concentration_at%,doi,element,is_sputter,vacancy_concentration_pred_rank,vacancy_concentration_pred_refined,vacancy_concentration_alpha
0,12.23379898071289,13.442064865649597,1.9709115982055665,17.50105857849121,Fe,RF magnetron sputtering,Ar,2.65,Original CSV,Fe,True,,13.442064865649597,0.0
1,12.059810829162595,13.299237531198427,1.9109148025512692,10.127104759216309,Sn,RF magnetron sputtering,Ar,2.65,Original CSV,Sn,True,,13.299237531198427,0.0
2,12.081414604187012,13.316972127338028,1.6337300777435302,10.079181671142578,Mg,RF magnetron sputtering,Ar,2.65,Original CSV,Mg,True,,13.316972127338028,0.0
3,12.09801425933838,13.330598828219399,1.8525970935821532,9.973589897155762,Zn,RF magnetron sputtering,Ar,2.65,Original CSV,Zn,True,,13.330598828219399,0.0
4,7.380924034118652,9.458326968149377,1.3521671384572982,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.3390/cryst13101434,—,True,,9.458326968149377,0.0
5,0.2821430206298828,3.6309188315896277,0.4316042866557836,,undoped,RF magnetron sputtering+O₂ plasma,O2_plasma,0.0,DOI:10.1016/j.apmt.2025.102851,—,True,,3.6309188315896277,0.0
6,4.380203914642334,6.995027874044634,0.6570580637548119,,undoped,RF magnetron sputtering on Si,N2,0.0,Mohammed ApplSurf 2022,—,True,,6.995027874044634,0.0
7,0.3860073089599609,3.716181300985796,0.289643851481378,,undoped,RF magnetron sputtering amorphous,Ar,0.0,DOI:10.1016/j.jallcom.2022.168255,—,True,,3.716181300985796,0.0
8,-6.633512306213379,-2.0461609437566435,2.4034193754196167,,undoped,RF magnetron sputtering+O₂ anneal,O2,0.0,DOI:10.1002/advs.202101106,—,True,,-2.0461609437566435,0.0
9,-1.4207700729370116,2.232992962563727,0.6745126575231553,,undoped,RF magnetron sputtering+O₂ plasma,O2_plasma,0.0,DOI:10.3390/photonics12111074,—,True,,2.232992962563727,0.0
10,7.6134740829467775,9.649227919189192,1.229654461890459,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1007/s11432-024-4092-3,—,True,,9.649227919189192,0.0
11,9.097465324401856,10.867440259956789,1.967696952726692,,undoped,RF magnetron sputtering+N₂,N2,0.0,DOI:10.1016/j.matlet.2023.133506,—,True,,10.867440259956789,0.0
12,9.659874725341798,11.329123626845776,2.152437912300229,,undoped,RF magnetron sputtering+vacuum,vacuum,0.0,DOI:10.1016/j.matlet.2023.133506,—,True,,11.329123626845776,0.0
13,4.9693090438842775,7.4786258350058805,1.91386535204947,,undoped,RF magnetron sputtering+O₂,O2,0.0,DOI:10.1016/j.matlet.2023.133506,—,True,,7.4786258350058805,0.0
14,3.911270904541016,6.610079523986589,0.6483088888227939,,undoped,RF magnetron sputtering,Ar+N2,0.0,ε-PMC review 2025 ref,—,True,,6.610079523986589,0.0
15,2.182102394104004,5.190600513709118,0.3512262335047126,,Si,RF magnetron sputtering,Ar,2.34,DOI:10.1016/j.vacuum.2024.113564,Si,True,6.690600513709118,5.190600513833813,8.312989016702847e-11
16,4.780204772949219,7.3233896381135954,1.0420293684117496,,Si,RF sputtering on FTO/TiO₂,Ar,2.34,DOI:10.1021/acsaelm.3c01332,Si,True,8.823389638113596,7.323389639211171,7.317171464572587e-10
17,14.599549674987792,15.384115876758907,2.488015079498291,,undoped,RF magnetron co-sputtering,Ar,0.0,DOI:10.3390/ma17133227,—,True,,15.384115876758907,0.0
18,15.859628677368164,16.41851806739229,2.8880628108978272,16.301029205322266,Sn,RF magnetron co-sputtering,Ar,2.1,DOI:10.3390/ma17133227,Sn,True,,16.41851806739229,0.0
19,15.565830039978028,16.177337987772393,2.688213014602661,16.698970794677734,Sn,RF magnetron co-sputtering,Ar,3.6,DOI:10.3390/ma17133227,Sn,True,,16.177337987772393,0.0
20,15.246669578552249,15.91533831962561,3.0832881927490234,17.0,Sn,RF magnetron co-sputtering,Ar,4.1,DOI:10.3390/ma17133227,Sn,True,,15.91533831962561,0.0
21,3.768099403381348,6.492549659465344,1.6634948490187529,,Sn,RF magnetron sputtering,Ar:O2=1:1,3.0,DOI:10.1016/j.jallcom.2021.162551,Sn,True,7.992549659465344,6.492549662262506,1.8647741229196015e-09
