sample_idx,element,n_within,n_cross,sigma_reg,sigma_rank,y_reg,y_rank,y_fused,alpha
15,Si,0,12,0.2883225453791969,31622.776601683792,5.190600513709118,6.690600513709118,5.190600513833813,8.312989016702847e-11
16,Si,0,12,0.8554046685590795,31622.776601683792,7.3233896381135954,8.823389638113596,7.323389639211171,7.317171464572587e-10
21,Sn,4,0,1.3655673276689744,31622.776601683792,6.492549659465344,7.992549659465344,6.492549662262506,1.8647741229196015e-09
22,Sn,10,0,2.440689856134285,31622.776601683792,17.16307423952098,15.66307423952098,17.163074230585533,5.9569669383513426e-09
23,Sn,7,0,2.2222089666812868,31622.776601683792,18.001956367282983,19.501956367282983,18.0019563746903,4.938212667212768e-09
24,Sn,10,0,2.4835619028047415,31622.776601683792,18.390836700862614,19.890836700862614,18.390836710114733,6.1680796870179015e-09
25,Mg,13,0,2.020938793811281,0.7078073932937958,14.702176297563383,14.07764893000897,14.145886697372866,0.8907369461948378
29,Mg,12,0,0.3461454752931378,31622.776601683792,4.766654480992555,6.266654480992555,4.76665448117228,1.1981669005155625e-10
30,Zn,1,12,0.7756548322773053,31622.776601683792,7.811057838104622,6.311057838104622,7.811057837202161,6.016404184731634e-10
31,Zn,2,12,1.3269100918140755,1.364017609343828,9.855860875258957,11.355860875258957,10.585180017233395,0.4862127613162924
32,Zn,2,12,1.260561100694262,1.8704217632751146,9.685373201258184,11.059836224080167,10.114669491456954,0.31233746057231754
35,Sb,0,12,0.3863325196642498,31622.776601683792,4.96948783749564,6.46948783749564,4.969487837719519,1.4925281572785158e-10
36,Bi,0,12,0.46753052059015676,31622.776601683792,1.3595868843152497,2.8595868843152497,1.359586884643127,2.185847876355237e-10
41,Mg,12,0,2.6803850982138737,0.7080432107154795,16.02456345916986,15.66869439293653,15.691906858939916,0.9347724536749493
42,Mg,13,0,2.50254984071017,0.7078073932937958,16.446676940960124,14.946676940960124,15.05778206623362,0.9259299164843361
43,Zn,2,12,0.7096519767928874,31622.776601683792,7.622611509490605,6.122611509490605,7.622611508735196,5.036059279124338e-10
44,Sn,8,0,2.079294751437087,31622.776601683792,14.653527425326823,16.15352742532682,14.653527431812023,4.323466644661455e-09
45,Sn,8,0,2.1525620483123826,31622.776601683792,16.028989827478675,17.528989827478675,16.02898983442896,4.633523350365262e-09
46,Sn,7,0,2.3071465650979954,31622.776601683792,13.453683495304913,14.953683495304913,13.453683503289302,5.322925244509946e-09
54,Mg,0,12,2.6692098882632123,31622.776601683792,15.902641829360533,14.402641829360533,15.902641818673512,7.124681376841025e-09
68,Mg,17,0,0.23833417611815938,31622.776601683792,3.3007617813859333,1.8007617813859333,3.3007617813007286,5.680317950269522e-11
69,Mg,19,0,0.2,31622.776601683792,3.348712721654453,1.848712721654453,3.348712721594453,3.999999999840001e-11
70,Mg,8,0,0.2196975355398001,31622.776601683792,3.3457321646283957,4.845732164628396,3.345732164700796,4.826700711993202e-11
74,Mg,8,0,0.2,31622.776601683792,-2.0051623140234,-0.5051623140234001,-2.0051623139634,3.999999999840001e-11
75,Mg,5,0,0.2,31622.776601683792,-2.006243932427266,-0.5062439324272661,-2.0062439323672656,3.999999999840001e-11
76,Mg,17,0,0.2,31622.776601683792,-2.0062799446207937,-0.5062799446207937,-2.006279944560794,3.999999999840001e-11
81,W,0,12,1.3814765540671832,31622.776601683792,10.972697325498551,12.472697325498551,10.972697328361267,1.9084774657950527e-09
82,W,0,12,1.5319404802718846,31622.776601683792,11.434568738667656,12.934568738667656,11.434568742187917,2.346841629587987e-09
83,Ti,0,12,1.1576683101223448,31622.776601683792,4.628288587595204,6.128288587595204,4.628288589605498,1.3401959144654005e-09
84,Ti,0,12,1.3134375105675002,31622.776601683792,4.793541967554104,6.293541967554104,4.793541970141781,1.7251180911897201e-09
86,Ta,0,12,0.6625694712899418,31622.776601683792,6.271573986162026,7.771573986162026,6.271573986820523,4.3899830409271354e-10
87,Ta,0,12,0.6242215936254436,31622.776601683792,6.651123716973382,8.151123716973382,6.65112371755786,3.896525977964593e-10
88,Ta,0,12,0.7253661010317489,31622.776601683792,6.699286111447812,8.199286111447812,6.699286112237046,5.261559802491613e-10
