dopant_spec,element,method,concentration_at%,atmosphere,temperature_C,time_min,photocurrent_uA,dark_current_pA,photo_dark_ratio,sensitivity,vacancy_concentration,measurement_voltage_V,measurement_wavelength_nm,notes,doi,usable_flag
Fe:0.026500,Fe,RF magnetron sputtering,2.65,Ar,800.0,90.0,43.76,2.1,4.0,,17.50105926221775,10.0,254.0,10V;254nm,Original CSV,ok
Sn:0.026500,Sn,RF magnetron sputtering,2.65,Ar,800.0,90.0,18.0,1.1,4.296445794206396,,10.127104798364808,,,Sn vac~0.69%,Original CSV,ok
Mg:0.026500,Mg,RF magnetron sputtering,2.65,Ar,800.0,90.0,17.0,13.0,3.041392685158225,,10.079181246047623,,,VO suppression,Original CSV,ok
Zn:0.026500,Zn,RF magnetron sputtering,2.65,Ar,800.0,90.0,5.0,1340.0,1.2301933788690456,,9.973589623427255,10.0,254.0,10V;254nm,Original CSV,ok
undoped,—,RF magnetron sputtering,0.0,Ar,700.0,90.0,24.0,4000.0,3.778151250383644,46.3,17.0,5.0,254.0,5V;254nm;R=46.3 A/W,DOI:10.3390/cryst13101434,ok
undoped,—,RF magnetron sputtering+O₂ plasma,0.0,O2_plasma,1000.0,60.0,,0.03,7.782472624166286,3.37,16.45939248775923,10.0,,10V;Id=30fA;OPA FTF,DOI:10.1016/j.apmt.2025.102851,ok
undoped,—,RF magnetron sputtering on Si,0.0,N2,900.0,60.0,0.000247,2.25,4.041392685158225,,,,374.0,374nm;sensitivity=1.1e4%,Mohammed ApplSurf 2022,ok
undoped,—,RF magnetron sputtering amorphous,0.0,Ar,,,,,6.361727836017593,1021.8,,,254.0,254nm;R=1021.8 A/W,DOI:10.1016/j.jallcom.2022.168255,ok
undoped,—,RF magnetron sputtering+O₂ anneal,0.0,O2,300.0,60.0,10.0,0.3,7.5910646070264995,,,5.0,254.0,5V;254nm;32×32 array,DOI:10.1002/advs.202101106,ok
undoped,—,RF magnetron sputtering+O₂ plasma,0.0,O2_plasma,,,0.347,0.378,5.962842681201242,,,10.0,254.0,10V;254nm,DOI:10.3390/photonics12111074,ok
undoped,—,RF magnetron sputtering,0.0,Ar,800.0,,8.52,0.0,8.0,,,,,Inf.PDCR at I_dark=0;Vd=10.1V,DOI:10.1007/s11432-024-4092-3,ok
undoped,—,RF magnetron sputtering+N₂,0.0,N2,700.0,60.0,,,4.181843587944773,,,,,N₂ atm;VO↑ vs O₂,DOI:10.1016/j.matlet.2023.133506,ok
undoped,—,RF magnetron sputtering+vacuum,0.0,vacuum,700.0,60.0,,,2.3010299956639813,,,,,Vac ann.→highest VO,DOI:10.1016/j.matlet.2023.133506,ok
undoped,—,RF magnetron sputtering+O₂,0.0,O2,700.0,60.0,,54.0,4.181843587944773,,15.544068044350276,,254.0,O₂ best;dark↓;254nm,DOI:10.1016/j.matlet.2023.133506,ok
undoped,—,RF magnetron sputtering,0.0,Ar+N2,800.0,,,0.4,4.0,,,,,Ga interstitial suppressed;2VGa-Gai,ε-PMC review 2025 ref,ok
undoped,—,PLD,0.0,O2,400.0,,,,3.0,,18.30102999566398,,,400°C lowest T in 400-650°C series,DOI:10.1016/j.vacuum.2025.113564,ok
undoped,—,PLD,0.0,O2,550.0,,,50.0,5.0,8.5,16.69897000433602,,,Best crystal 550°C;R=8.5 A/W,DOI:10.1016/j.vacuum.2025.113564,ok
undoped,—,PLD,0.0,O2,600.0,,,,3.0,,17.0,,,600°C;intermediate quality,DOI:10.1016/j.vacuum.2025.113564,ok
