name,dopant,conc,E,E_per_atom,fmax,nn,sec
undoped,undoped,0.0,-60.34079138288868,-6.0340791382888685,0.025664066517520772,,2.4
Al_0.0500,Al,0.05,-489.62566893991175,-6.120320861748897,0.02016910176391609,"[np.float64(1.784), np.float64(1.788), np.float64(1.788), np.float64(1.817)]",4.5
B_0.0265,B,0.0265,-727.9559068928097,-6.066299224106747,0.008808212982191277,"[np.float64(1.528), np.float64(1.529), np.float64(1.532), np.float64(1.586), np.float64(2.971), np.float64(2.972)]",14.8
Cu_0.0340,Cu,0.034,-479.5666094947862,-5.994582618684827,0.019376619537058472,"[np.float64(1.886), np.float64(1.911), np.float64(1.911), np.float64(1.951)]",5.1
Er_0.0100,Er,0.01,-1090.6644492115042,-6.059246940063913,0.007271119162304321,"[np.float64(2.064), np.float64(2.097), np.float64(2.097), np.float64(2.1)]",27.9
Eu_0.0010,Eu,0.001,-68.75265311140107,-6.875265311140107,0.027150596806217425,"[np.float64(2.304), np.float64(2.304), np.float64(2.308), np.float64(2.308), np.float64(2.335), np.float64(2.496)]",3.0
F_0.0083,F,0.0083,-1077.4362512195733,-5.985756951219852,0.02451773264389111,"[np.float64(1.486), np.float64(2.311), np.float64(2.698), np.float64(2.698), np.float64(2.7), np.float64(2.704)]",46.9
Fe_0.0244,Fe,0.0244,-725.4232607854628,-6.045193839878857,0.004578772764305339,"[np.float64(1.889), np.float64(1.901), np.float64(1.901), np.float64(1.933)]",9.4
Ge_0.0265,Ge,0.0265,-725.1543612715399,-6.0429530105961655,0.026581154517847403,"[np.float64(1.908), np.float64(1.908), np.float64(1.92), np.float64(1.963), np.float64(2.023), np.float64(2.023)]",12.0
Mg_0.0072,Mg,0.0072,-1085.3183964057152,-6.029546646698418,0.01934518666189808,"[np.float64(1.943), np.float64(1.944), np.float64(1.944), np.float64(1.978)]",20.3
Ta_0.0020,Ta,0.002,-69.88653126754184,-6.988653126754184,0.01954182560719143,"[np.float64(1.93), np.float64(1.93), np.float64(1.959), np.float64(2.124), np.float64(2.124), np.float64(2.143)]",4.7
Ti_0.0001,Ti,0.0001,-67.54420000240985,-6.7544200002409855,0.026032598466776,"[np.float64(2.018), np.float64(2.018), np.float64(2.018), np.float64(2.082), np.float64(2.166), np.float64(2.166)]",1.1
V_0.0265,V,0.0265,-728.7687256193338,-6.073072713494449,0.013877650435013432,"[np.float64(1.867), np.float64(1.908), np.float64(1.916), np.float64(1.916)]",10.4
W_0.0500,W,0.05,-490.88694847255147,-6.1360868559068935,0.009388123645855293,"[np.float64(2.106), np.float64(2.116), np.float64(2.118), np.float64(2.167), np.float64(2.197), np.float64(2.199)]",8.2
Zn_0.0025,Zn,0.0025,-55.82862921780355,-5.582862921780356,0.028152833326641834,"[np.float64(1.925), np.float64(1.932), np.float64(1.932), np.float64(2.011)]",1.2
