doi,element,conc_at,atmosphere,T_C,method,source,pred_PDR,meas_PDR,pred_dark,meas_dark,pred_VO,meas_VO,meas_VO_log10,pred_n,pred_mu,pred_sigma,pred_Eg,pred_dEg,meas_n,meas_mu,meas_sigma
DOI:10.1016/j.vacuum.2024.113564,Si,2.34,Ar,800.0,RF magnetron sputtering,exp,21.484391704924143,4.505149978319906,0.15491253289182527,32.2,161693192206.28638,,,2.497359356168301e+16,37.83928976214712,0.09767933879441282,4.901446742875102,-9.711657726935402e-05,,,
DOI:10.1016/j.mssp.2024.108428,Si,2.0,air,,Mist-CVD,exp,22.502296516766837,6.510545010206612,0.21956980158563688,,161229700187.20154,,,2048258747509810.2,37.84144835582912,0.008011821488701292,4.902124992869824,-7.842155971288039e-05,,,
DOI:10.1021/acsaelm.3c01332,Si,2.34,Ar,800.0,RF sputtering on FTO/TiO₂,exp,21.484391704924143,2.38481918395196,0.15491253289182527,,161693192206.28638,,,2.497359356168301e+16,37.83928976214712,0.09767933879441282,4.901446742875102,-9.711657726935402e-05,,,
MOCVD-TEOS series,Si,0.00141,N2+O2,800.0,MOCVD,exp,18.78065287719908,,0.21702537476227501,,146313128654.59775,5.140000000000017e+17,17.710963118995277,2260105473342571.0,150.4601416470807,0.035150286480258586,4.90210029758464,-5.857241652902859e-05,,,
MOCVD-TEOS series,Si,0.00275,N2+O2,800.0,MOCVD,exp,19.083652727435584,,0.21604405641745394,,151974610375.69238,1e+18,18.0,2347544742357746.0,130.0867661961751,0.0315664462418837,4.9020906605345,-6.820946666956948e-05,,,
MOCVD-TEOS series,Si,0.0549,N2+O2,800.0,MOCVD,exp,20.51072465195681,,0.21454987285080396,,161045746367.43625,2.0000000000000004e+19,19.30102999566398,2487222581392183.5,84.27739880372575,0.02166728372742299,4.902075868722763,-8.300127840636204e-05,,,
DOI:10.3390/ma17133227,Sn,2.1,Ar,800.0,RF magnetron co-sputtering,exp,21.549400977264302,1.977723605288848,0.1869615670692628,,93785091331.13167,2.0000000000000004e+16,16.30102999566398,7230392094508774.0,37.9199849120926,0.02834057781915753,4.9017822413403955,0.00023838188802414399,,,
DOI:10.3390/ma17133227,Sn,3.6,Ar,800.0,RF magnetron co-sputtering,exp,21.73602728823058,2.008600171761917,0.1896676213572963,,114051175546.88905,4.999999999999999e+16,16.69897000433602,6511855803603114.0,37.89007658214383,0.02550403840738617,4.901812232541889,0.0002683730895186348,,,
DOI:10.3390/ma17133227,Sn,4.1,Ar,800.0,RF magnetron co-sputtering,exp,21.779959011414633,2.004321373782642,0.19030788422300748,26900.0,120609275550.1423,1e+17,17.0,6352569245532805.0,37.88460714612662,0.024876592458491924,4.901819311277483,0.0002754518251124216,,,
DOI:10.1016/j.apsusc.2019.144975,Sn,0.5,N2,1250.0,CVD (tube furnace),exp,17.92793889843085,0.6989700043360189,-0.014628186798723242,0.04,88265782119149.67,1000000000000000.0,15.0,1.172151648455948e+19,37.96947210136233,61.10994872079125,4.938849610538521,0.037486585458383126,,,
DOI:10.1016/j.apsusc.2019.144975,Sn,5.0,N2,1250.0,CVD (tube furnace),exp,18.884836425773795,1.4913616938342726,-0.003476618963527578,2.57,269569278811660.7,4.9999999999999994e+17,17.69897000433602,8.502324827528122e+18,37.848159029166766,43.228440024859054,4.9301683670964245,0.02880534201628617,,,
DOI:10.1016/j.jmst.2022.05.027,Sn,2.0,N2,1050.0,CVD microwire,exp,19.645486489900073,3.397940008672037,0.06631966835391534,1700.0,9568742156671.625,1e+16,16.0,7.506235793474903e+17,37.883604304141514,3.2826945637031955,4.904086486101405,0.002724522327230492,,,
ACS Omega 2024 review,Sn,2.0,N2+O2,800.0,MOCVD on p-GaN,exp,22.196592882365188,4.0,0.24626703713027176,18.0,51776924074.64778,,,729280181481734.9,82.2039267652282,0.006196774190412383,4.902356991093806,0.00019812109263686356,,,
DOI:10.1016/j.jallcom.2021.162551,Sn,3.0,Ar:O2=1:1,800.0,RF magnetron sputtering,exp,22.849961523171437,2.909556029241175,0.25877787386588835,1.14,47828095859.95001,,,449492268871949.7,37.898764445819815,0.001760864644396853,4.902448350713986,0.00019611401379418828,,,
DOI:10.1007/s40843-025-3757-2,Sn,5.0,air,700.0,Sol-gel+RTA,exp,23.89180838487163,2.909556029241175,0.3201660884865589,,4558697842.87078,,,41826004776426.5,37.897261465387736,0.0001638448919711219,4.902758594571527,0.00020237699239730037,,,
Novel Crystal Technology,Sn,0.0027,inert,1800.0,EFG melt growth,exp,11.78587555105964,,0.054937791346683085,,1.0845583413488584e+17,1e+18,18.0,1.147716747593215e+18,144.56416040765754,19.6368722343636,4.90579661140307,0.004433663438911783,,,
SSRN:5149855,Sn,1.0,Ar,900.0,RF magnetron sputtering,exp,20.444461095300483,3.03342375548695,0.12912445302889441,,595316353723.6206,,,6.7674949593579896e+16,37.957985659783034,0.2655276757234132,4.9013206266117155,1.344201697997191e-07,,,
